id,nombre,sexo_predominante,edad_min,edad_max,incidencia_cat,prevalencia_cat,sintomas_text
a12,Patologia_12,ambos,75,90,baja,baja,"hallazgo endoscópico de una lesión submucosa, ruidos musicales detectados durante la respiración, carencia de reflejo tusígeno, dolor dorsolumbar focal de inicio gradual"
a13,Patologia_13,ambos,55,65,media,alta,"generalmente inspiratorio, presente en el 30% de casos agudos de hbv, heces pálidas observadas durante la fase ictérica de la infección., cese completo de la ventilación espontánea en casos de obstrucción total., elevación de la temperatura corporal, edema del disco óptico por hipertensión intracraneal (observado en fundoscopia)., dolor de cabeza intenso"
a14,Patologia_14,ambos,5,15,media,baja,"coloración azulada de piel, especialmente frecuente en lactantes, ganglios linfáticos anteriores del cuello agrandados, protrusión de la fontanela anterior visible en lactantes., rara en hbv, inflamación, generalmente inspiratorio"
a15,Patologia_15,ambos,55,75,media,alta,"pruriginosos que afectan la dermis superficial, sensación subjetiva de picor intenso, múltiples lesiones puntiformes (de 10 a 100) que pueden coalecer en placas mayores., rara en hbv, sonido respiratorio agudo detectable tanto en la inspiración como en la espiración por obstrucción fija., agrandamiento del hígado detectable a la palpación (80% en hav)., sensación dolorosa intensa, disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica."
a16,Patologia_16,masculino,55,75,muy_baja,muy_baja,"hallazgo endoscópico de una lesión submucosa, rara en hbv, parte de la tríada clásica., coloración amarillenta de piel, mucosas debida a una oxigenación insuficiente., alteración fonatoria secundaria al estrechamiento de la vía aérea."
a17,Patologia_17,masculino,25,40,media,baja,"elevación de la temperatura corporal, reflejo tusígeno persistente causado por la alteración mecánica del flujo aéreo o tejido cicatricial., flexión involuntaria de caderas, limitación dolorosa de la movilidad cervical (asociada a espasmo muscular)."
a18,Patologia_18,masculino,55,80,baja,alta,"predominante en formas mediadas por bradicinina., regurgitación de ácido gástrico que genera irritación, producción excesiva de saliva secundaria a la irritación, 70% de hav., expulsar secreciones bronquiales a través del segmento estrechado., generalmente inspiratorio, alteración en el control vesical o intestinal secundaria a compresión medular severa."
a19,Patologia_19,ambos,25,50,alta,media,"inflamación de ganglios linfáticos regionales, llanto inconsolable, resistencia dolorosa a la flexión del cuello (meningismo)., sonido respiratorio agudo e inspiratorio derivado de la obstrucción de la vía aérea superior por edema laríngeo., carencia de reflejo tusígeno, dejar cicatriz., mucosas debida a una oxigenación insuficiente."
a20,Patologia_20,ambos,12,22,muy_baja,baja,"carencia de reflejo tusígeno, deglución debido al compromiso de la vía aérea., lactantes., coloración azulada de piel, pruriginosos que afectan la dermis superficial, sensación de cansancio extremo, afectando tejido subcutáneo o submucoso."
a21,Patologia_21,masculino,75,90,baja,muy_baja,"inflamación, rara en hbv, tiraje intercostal, disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., coloración azulada de piel"
a22,Patologia_22,ambos,75,90,alta,media,"sensación dolorosa intensa, solución de continuidad de la mucosa, crónicas., frecuentemente secundaria a la irritación crónica por reflujo., pausas en el flujo respiratorio debido al colapso total temporal de la vía aérea superior., salida de secreción purulenta del oído, coloración azulada de piel"
a23,Patologia_23,ambos,0,25,alta,media,"mucosas durante episodios de obstrucción severa o llanto., reflejo tusígeno brusco presente en un niño previamente sano mientras come o juega., intercostal o subcostal) por el esfuerzo inspiratorio., coloración azulada de piel, afectando tejido subcutáneo o submucoso., disminución de la capacidad auditiva por la presencia de fluido o inflamación en el oído medio., alta en la fase activa., 70% de hav."
a24,Patologia_24,femenino,45,70,muy_baja,media,"elevación de temperatura, alteración en la fonación cuando la estenosis se extiende o afecta la movilidad cordal., coloración azulada de la piel, a menudo unilaterales en casos bronquiales., inflamación, nota importante: ausente en aproximadamente el 50% de los casos., flexión involuntaria de caderas, cese completo de la ventilación espontánea en casos de obstrucción total."
a25,Patologia_25,masculino,18,43,muy_baja,baja,"el dolor por las úlceras., lesiones vasculares en piel, sonido respiratorio agudo e inspiratorio derivado de la obstrucción de la vía aérea superior por edema laríngeo., úlceras pequeñas (80% de los casos) que curan sin dejar cicatriz en 7-10 días."
a26,Patologia_26,masculino,75,90,baja,alta,"desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido., a menudo confundido con laringotraqueítis recurrente., resistencia o dolor al extender la rodilla con la cadera flexionada a 90°., sonido respiratorio agudo"
a27,Patologia_27,masculino,18,43,muy_baja,baja,"generalmente inspiratorio, progresivo., sensación de quemazón o dolor sordo en la zona inflamada, llanto inconsolable, sensación de quemazón o prurito que precede a la aparición de la lesión en 24-48 horas., a menudo unilaterales en casos bronquiales., discomfort o dolor localizado en el cuadrante superior derecho del abdomen., disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica."
a28,Patologia_28,ambos,55,65,muy_baja,baja,"característico del angioedema histaminérgico (mediado por mastocitos)., solución de continuidad de la mucosa, acumulación de líquido abdominal o periférico en casos de cirrosis descompensada., múltiples lesiones puntiformes (de 10 a 100) que pueden coalecer en placas mayores., anillo periférico de color rojo intenso que rodea la lesión (reflejo inflamatorio)., elevación de la temperatura corporal"
a29,Patologia_29,femenino,25,35,muy_baja,media,"expulsar secreciones bronquiales a través del segmento estrechado., común en angioedema hereditario., inflamación, dolor que irradia siguiendo un patrón dermatómico por compresión de raíces nerviosas., presencia de piezas dentales en mal estado, coloración azulada de piel, de forma ovalada"
a30,Patologia_30,femenino,12,22,muy_baja,alta,"elevación de la temperatura corporal, enrojecimiento de la piel sobre las regiones submandibular o submental., de varias semanas de evolución., sonido audible durante el ciclo respiratorio, resistencia dolorosa a la flexión del cuello (meningismo)., bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana"
a31,Patologia_31,masculino,65,75,media,baja,"elevación térmica que puede ser de bajo grado en el pródromo, del reflejo luminoso normal de la membrana timpánica., ganglios linfáticos anteriores del cuello agrandados, disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., incapacidad para ganar peso de forma adecuada (failure to thrive) debido al alto gasto calórico respiratorio., sonido respiratorio agudo"
a32,Patologia_32,ambos,25,45,alta,baja,"enrojecimiento intenso de la membrana timpánica debido a la inflamación vascular., mucosas, letargo o disminución del nivel de conciencia., presentes en >30% de casos cervicales."
a33,Patologia_33,ambos,65,85,media,media,"alteración en la fonación cuando la estenosis se extiende o afecta la movilidad cordal., presente en el 30% de casos agudos de hbv, sonido respiratorio ruidoso presente tanto en la inspiración como en la espiración por obstrucción fija., llanto de tono alto e irritabilidad extrema en neonatos, dolor a la palpación suave en las regiones submentales o del cuello."
a34,Patologia_34,ambos,45,60,muy_baja,baja,"múltiples lesiones puntiformes (de 10 a 100) que pueden coalecer en placas mayores., parestesias), mucosas asociada a episodios de obstrucción severa e hipoxemia., coloración amarillenta de piel, tiraje intercostal"
a35,Patologia_35,ambos,25,50,baja,media,"supraclavicular visible debido al aumento del trabajo respiratorio., expulsión forzada de contenido gástrico, letargo o disminución del nivel de conciencia., agrandamiento del hígado detectable a la palpación (80% en hav)."
a36,Patologia_36,femenino,35,55,muy_baja,muy_baja,"vasculitis sistémica reportada como manifestación extrahepática del hbv., reflejo tusígeno similar al del crup viral, manifestaciones gastrointestinales secundarias a la afectación de la mucosa del tracto digestivo., producción excesiva de saliva secundaria a la irritación, confusión, dolor dorsolumbar focal de inicio gradual"
a37,Patologia_37,masculino,18,43,media,alta,"desplazamiento hacia adentro de los aritenoides o la epiglotis visualizado mediante laringoscopia flexible., letargo o disminución del nivel de conciencia., aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión., signos de compresión medular o radicular (ej. debilidad, generalmente inspiratorio, ganglios linfáticos anteriores del cuello agrandados, base de la úlcera cubierta por una pseudomembrana de color amarillento o grisáceo."
a38,Patologia_38,femenino,35,45,media,muy_baja,"necróticas que pueden persistir semanas, reflejo tusígeno similar al del crup viral, malestar general (síntomas de tipo influenza)., desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido."
a39,Patologia_39,ambos,18,43,alta,baja,"pérdida de apetito, coloración amarillenta de piel, resistencia dolorosa a la flexión del cuello (meningismo)., lesiones eritematosas planas que se expanden rápidamente por la superficie corporal., dolor a la palpación suave en las regiones submentales o del cuello., indicativa de perforación., malestar general (síntomas de tipo influenza)."
a40,Patologia_40,masculino,45,70,baja,alta,"dificultad progresiva para deglutir líquidos, salida de secreción purulenta del oído, expulsar secreciones bronquiales a través del segmento estrechado., signo clásico de tuberculosis activa., rodillas al flexionar pasivamente el cuello., autolimitada que no deja fóvea a la presión"
a41,Patologia_41,masculino,12,22,muy_baja,alta,"movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior., dolor localizado en la región posterior del cuello, presentes en >30% de casos cervicales., insuficiencia ventilatoria crítica que resulta en la muerte si no se interviene (traqueotomía, generalizado."
a42,Patologia_42,ambos,75,90,media,baja,"signos de compresión medular o radicular (ej. debilidad, alteración en la emisión de la voz o ronquera por compromiso de las cuerdas vocales., interrupción de la ingesta por fatiga respiratoria, edema del disco óptico por hipertensión intracraneal (observado en fundoscopia)., afectando tejido subcutáneo o submucoso."
a43,Patologia_43,ambos,0,10,media,media,"presentes en >30% de casos cervicales., intolerancia o hipersensibilidad visual a la luz., signos de compresión medular o radicular (ej. debilidad, limitación dolorosa de la movilidad cervical (asociada a espasmo muscular)., el edema., usualmente posterolateral., bordes bien definidos., alteración en el control vesical o intestinal secundaria a compresión medular severa."
a44,Patologia_44,ambos,12,37,alta,muy_baja,"presencia de habones eritematosos, elevación térmica que puede ser sutil o de bajo grado., elevación de temperatura, sensación dolorosa intensa"
a45,Patologia_45,masculino,18,38,baja,media,"edema del disco óptico por hipertensión intracraneal (observado en fundoscopia)., signo clásico de tuberculosis activa., movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior., el dolor por las úlceras., alteración en la emisión de la voz o ronquera por compromiso de las cuerdas vocales."
a46,Patologia_46,femenino,45,60,muy_baja,media,"desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido., sólidos., esfuerzo ventilatorio aumentado que progresa durante la fase de proliferación (1-6 meses de edad)., coloración azulada de piel, dolor de cabeza intenso, signos de obstrucción aguda de la vía aérea con incapacidad para hablar o toser."
a47,Patologia_47,ambos,65,90,media,alta,"coloración azulada de piel, pruriginosos que afectan la dermis superficial, cese completo de la ventilación espontánea en casos de obstrucción total., sésil, inflamación, alta en la fase activa., sonido respiratorio agudo"
a48,Patologia_48,ambos,65,75,alta,media,"elevación de la temperatura corporal, predominante en formas mediadas por bradicinina., inflamación, aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión., base de la úlcera cubierta por una pseudomembrana de color amarillento o grisáceo."
a49,Patologia_49,masculino,12,27,muy_baja,media,"coloración azulada de la piel, coloración azulada de piel, alteración en el control vesical o intestinal secundaria a compresión medular severa., alteración del tono de la voz, sonido respiratorio ruidoso presente tanto en la inspiración como en la espiración por obstrucción fija., aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión., incapacidad para movilizar, característica de la otitis media con efusión (ome)."
a50,Patologia_50,ambos,35,60,media,muy_baja,"deformidad angular cifótica visible en la espalda secundaria al colapso vertebral anterior., producción excesiva de saliva secundaria a la irritación, sonido respiratorio agudo detectable tanto en la inspiración como en la espiración por obstrucción fija., hallazgo endoscópico de tejido fibrótico o cartilaginoso que estrecha la vía aérea."
a51,Patologia_51,masculino,18,38,muy_baja,muy_baja,"70% de hav., úlceras profundas, alteración del tono de la voz, episodios de diaforesis profusa durante el sueño, inflamación de ganglios linfáticos regionales, signo clásico de tuberculosis activa., regurgitación de ácido gástrico que genera irritación, llanto inconsolable"
a52,Patologia_52,ambos,5,30,baja,alta,"erupción cutánea hemorrágica (característico de n. meningitidis)., rodillas al flexionar pasivamente el cuello., sensación de quemazón o dolor sordo en la zona inflamada, sensación de quemazón o prurito que precede a la aparición de la lesión en 24-48 horas., pausas en el flujo respiratorio debido al colapso total temporal de la vía aérea superior., autolimitada que no deja fóvea a la presión, dolor de cabeza intenso"
a53,Patologia_53,ambos,25,50,baja,media,"heces pálidas observadas durante la fase ictérica de la infección., incapacidad para movilizar, resistencia o dolor al extender la rodilla con la cadera flexionada a 90°., desplazamiento anterior de la lengua que dificulta la caracterización de la orofaringe., mucosas durante episodios de obstrucción severa o llanto., elevación térmica que puede ser sutil o de bajo grado., protrusión de la fontanela anterior visible en lactantes., crónicas."
a54,Patologia_54,ambos,65,85,alta,alta,"hallazgo endoscópico de una lesión submucosa, base de la úlcera cubierta por una pseudomembrana de color amarillento o grisáceo., debilidad dinámica de las paredes traqueales adyacentes a la zona de estenosis fija., sonido respiratorio agudo, dolor que irradia siguiendo un patrón dermatómico por compresión de raíces nerviosas., signo clásico de tuberculosis activa., inflamación, agrandamiento del hígado detectable a la palpación (80% en hav)."
a55,Patologia_55,ambos,12,37,muy_baja,baja,"que suele ser de moderado a grave en la fase aguda., alteración en el control vesical o intestinal secundaria a compresión medular severa., resistencia dolorosa a la flexión del cuello (meningismo)., 70% de hav., múltiples lesiones puntiformes (de 10 a 100) que pueden coalecer en placas mayores."
a56,Patologia_56,ambos,45,55,muy_baja,baja,"coloración azulada de piel, elevación de la temperatura corporal, submental., hinchazón de los tejidos laríngeos"
a57,Patologia_57,ambos,12,32,muy_baja,alta,"mucosas debida a una oxigenación insuficiente., presencia de piezas dentales en mal estado, bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana, ruidos musicales detectados durante la respiración"
a58,Patologia_58,masculino,5,30,alta,muy_baja,"sonido agudo generado por el colapso de los tejidos supraglóticos hacia la vía aérea durante la inspiración., coloración azulada de la piel, insuficiencia ventilatoria crítica que resulta en la muerte si no se interviene (traqueotomía, disminución del movimiento de la membrana timpánica detectado mediante otoscopia neumática., presencia de piezas dentales en mal estado, acumulación de líquido abdominal o periférico en casos de cirrosis descompensada., indicativa de perforación."
a59,Patologia_59,masculino,45,70,baja,muy_baja,"que suele ser de moderado a grave en la fase aguda., presencia de habones eritematosos, bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana, resistencia o dolor al extender la rodilla con la cadera flexionada a 90°., desplazamiento anterior de la lengua que dificulta la caracterización de la orofaringe."
a60,Patologia_60,masculino,35,45,baja,baja,"reflejo tusígeno brusco presente en un niño previamente sano mientras come o juega., hundimiento visible del tórax (supraesternal, coloración azulada de piel, presencia de habones eritematosos, nota importante: ausente en aproximadamente el 50% de los casos., síntoma constitucional común en fases prodrómicas"
a61,Patologia_61,femenino,65,85,baja,muy_baja,"dificultad progresiva para deglutir líquidos, del reflejo luminoso normal de la membrana timpánica., coloración amarillenta de piel, inflamación de ganglios linfáticos regionales"
a62,Patologia_62,ambos,5,15,baja,muy_baja,"erupción cutánea hemorrágica (característico de n. meningitidis)., elevación de la temperatura corporal, generalmente inspiratorio, disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., (implícito en ""laryngeal diphtheria"") manifestación clínica de la afectación laríngea que requiere intervención operativa."
a63,Patologia_63,femenino,12,37,media,media,"hallazgo endoscópico de tejido fibrótico o cartilaginoso que estrecha la vía aérea., disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., ganglios linfáticos anteriores del cuello agrandados, sonido respiratorio agudo, compromiso ventilatorio potencial debido al estrechamiento de las vías aéreas."
a64,Patologia_64,femenino,65,90,media,muy_baja,"manifestaciones gastrointestinales secundarias a la afectación de la mucosa del tracto digestivo., movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior., disminución de la capacidad auditiva por la presencia de fluido o inflamación en el oído medio., hallazgo endoscópico de tejido fibrótico o cartilaginoso que estrecha la vía aérea., sólidos., elevación de la temperatura corporal"
a65,Patologia_65,ambos,12,37,alta,baja,"parestesias), ruidos musicales detectados durante la respiración, elevación de la temperatura corporal, vasculitis sistémica reportada como manifestación extrahepática del hbv."
a66,Patologia_66,ambos,25,35,media,baja,"malestar general (síntomas de tipo influenza)., incapacidad para ganar peso de forma adecuada (failure to thrive) debido al alto gasto calórico respiratorio., parte de la tríada clásica., expulsión forzada de contenido gástrico"
a67,Patologia_67,ambos,55,65,baja,baja,"parestesias), disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., sonido respiratorio agudo, insuficiencia ventilatoria crítica que resulta en la muerte si no se interviene (traqueotomía, desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido., frecuentemente asociada a cuerpos extraños laríngeos."
a68,Patologia_68,ambos,0,15,alta,alta,"signos de compresión medular o radicular (ej. debilidad, reflejo tusígeno brusco presente en un niño previamente sano mientras come o juega., heces pálidas observadas durante la fase ictérica de la infección., elevación de la temperatura corporal, enrojecimiento de la piel sobre las regiones submandibular o submental., tumefacción profunda"
a69,Patologia_69,masculino,18,38,media,baja,"bordes bien definidos., signo clásico de tuberculosis activa., sensación de cansancio extremo, deglución debido al compromiso de la vía aérea., elevación de la temperatura corporal, la región submandibular"
a70,Patologia_70,femenino,65,80,baja,media,"reducción unilateral de la entrada de aire detectada mediante auscultación., submental., úlceras pequeñas (80% de los casos) que curan sin dejar cicatriz en 7-10 días., disminución de la capacidad auditiva por la presencia de fluido o inflamación en el oído medio., considerado un factor contribuyente mayor."
a71,Patologia_71,masculino,0,15,baja,baja,"hinchazón de los tejidos laríngeos, interrupción de la ingesta por fatiga respiratoria, mucosas asociada a episodios de obstrucción severa e hipoxemia., bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana, movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior., sonido respiratorio agudo"
a72,Patologia_72,masculino,45,70,baja,alta,"sonido agudo generado por el colapso de los tejidos supraglóticos hacia la vía aérea durante la inspiración., sonido respiratorio agudo e inspiratorio derivado de la obstrucción de la vía aérea superior por edema laríngeo., sonido respiratorio agudo, sésil, alteración del tono de la voz, discomfort o dolor localizado en el cuadrante superior derecho del abdomen., dolor que irradia siguiendo un patrón dermatómico por compresión de raíces nerviosas."
a73,Patologia_73,femenino,18,33,baja,media,"generalmente inspiratorio, supraclavicular visible debido al aumento del trabajo respiratorio., llanto de tono alto e irritabilidad extrema en neonatos, elevación de la temperatura corporal, elevación térmica que puede ser sutil o de bajo grado., signos de sufrimiento medular (debilidad, regurgitación de ácido gástrico que genera irritación, cese completo de la ventilación espontánea en casos de obstrucción total."
a74,Patologia_74,femenino,35,45,media,muy_baja,"desplazamiento hacia adentro de los aritenoides o la epiglotis visualizado mediante laringoscopia flexible., elevación térmica que puede ser sutil o de bajo grado., deformidad angular cifótica visible en la espalda secundaria al colapso vertebral anterior., intolerancia o hipersensibilidad visual a la luz., deglución debido al compromiso de la vía aérea."
a75,Patologia_75,femenino,0,10,media,baja,"lactantes., sonido respiratorio agudo detectable tanto en la inspiración como en la espiración por obstrucción fija., salivación excesiva o babeo por incapacidad de deglutir debido al edema orofaríngeo., autolimitada que no deja fóvea a la presión, de varias semanas de evolución., especialmente frecuente en lactantes"
a76,Patologia_76,ambos,25,40,media,muy_baja,"movimientos involuntarios de náusea provocados por la presencia del objeto en la vía aérea superior., episodios de actividad neuronal excesiva (presente en 20-40% de casos)., dificultad para respirar de intensidad variable según el sitio de impacto., elevación de la temperatura corporal, de varias semanas de evolución., sensación de mareo gástrico comunes en la fase prodrómica., nota importante: ausente en aproximadamente el 50% de los casos., espasticidad) por compresión del canal espinal."
a77,Patologia_77,masculino,55,65,baja,alta,"objetiva ante el compromiso de la vía aérea superior., inflamación, elevación térmica que puede ser de bajo grado en el pródromo, hinchazón de los tejidos laríngeos, usualmente posterolateral."
a78,Patologia_78,femenino,0,20,muy_baja,muy_baja,"pérdida de apetito, resistencia dolorosa a la flexión del cuello (meningismo)., característico del angioedema histaminérgico (mediado por mastocitos)., incapacidad para ganar peso de forma adecuada (failure to thrive) debido al alto gasto calórico respiratorio., elevación térmica que puede ser de bajo grado en el pródromo, aumento de la frecuencia cardíaca (ritmo sinusal) registrado en la admisión., episodios de diaforesis profusa durante el sueño, asociada generalmente a aftas mayores."
a79,Patologia_79,femenino,55,75,baja,baja,"del reflejo luminoso normal de la membrana timpánica., rara en hbv, niños pequeños., nota importante: ausente en aproximadamente el 50% de los casos., aspecto característico de la mucosa que recubre el tumor vascular durante la laringoscopia., coloración azulada de piel"
a80,Patologia_80,ambos,5,25,media,muy_baja,"a menudo exacerbado en decúbito supino o durante el llanto., autolimitada que no deja fóvea a la presión, sésil, signos de compresión medular o radicular (ej. debilidad, de varias semanas de evolución., dificultad para respirar de intensidad variable según el sitio de impacto., la región submandibular, enrojecimiento de la piel sobre las regiones submandibular o submental."
a81,Patologia_81,masculino,0,20,baja,baja,"generalmente inspiratorio, discomfort o dolor localizado en el cuadrante superior derecho del abdomen., lesiones similares en mucosa de órganos sexuales (característico de aftosis compleja)., por obstrucción incompleta laríngea o traqueal., indicativo de infección crónica o sistémica., regurgitación de ácido gástrico que genera irritación, bordes bien definidos., llanto de tono alto e irritabilidad extrema en neonatos"
a82,Patologia_82,ambos,12,37,media,media,"vasculitis sistémica reportada como manifestación extrahepática del hbv., coloración azulada de la piel, hinchazón difusa que involucra el suelo de la boca, malestar tipo cólico derivado del edema de la pared intestinal, el edema., síntoma constitucional común en fases prodrómicas, heces pálidas observadas durante la fase ictérica de la infección., hav (<0.5%) pero riesgo elevado (15-25%) en embarazadas con hev."
a83,Patologia_83,masculino,75,90,muy_baja,media,"signos de obstrucción aguda de la vía aérea con incapacidad para hablar o toser., a menudo en ""proyectil""., sensación de quemazón o dolor sordo en la zona inflamada, carencia de reflejo tusígeno, enrojecimiento de la piel sobre las regiones submandibular o submental., hinchazón de los tejidos laríngeos, hallazgo endoscópico de una lesión submucosa"
a84,Patologia_84,ambos,65,80,alta,media,"agrandamiento del hígado detectable a la palpación (80% en hav)., dolor que irradia siguiendo un patrón dermatómico por compresión de raíces nerviosas., elevación de la temperatura corporal, supraclavicular visible debido al aumento del trabajo respiratorio., sonido audible durante el ciclo respiratorio, lesiones similares en mucosa de órganos sexuales (característico de aftosis compleja)., sonido respiratorio agudo, sensación de mareo gástrico comunes en la fase prodrómica."
a85,Patologia_85,ambos,0,15,muy_baja,muy_baja,"enrojecimiento de la piel sobre las regiones submandibular o submental., característica de la otitis media con efusión (ome)., llanto inconsolable, edema adicional en la mucosa laríngea., a menudo confundido con laringotraqueítis recurrente., tumefacción profunda, sólidos., inflamación"
a86,Patologia_86,ambos,45,70,baja,media,"localizada que se exacerba con la masticación o el habla., mucosas en estadios avanzados por hipoxemia crítica., sonido respiratorio agudo, generalmente inspiratorio, lesiones eritematosas planas que se expanden rápidamente por la superficie corporal., deglución debido al compromiso de la vía aérea."
a87,Patologia_87,ambos,55,75,muy_baja,media,"desplazamiento convexo de la membrana timpánica hacia el conducto auditivo externo por presión de fluido., inflamación, dejar cicatriz., acumulación de líquido abdominal o periférico en casos de cirrosis descompensada., elevación térmica que puede ser de bajo grado en el pródromo, presente frecuentemente en la fase supurativa aguda., disfunción miocárdica severa que se presenta como complicación sistémica de la toxina diftérica., sensación de mareo gástrico comunes en la fase prodrómica."
a88,Patologia_88,ambos,5,15,media,baja,"objetiva ante el compromiso de la vía aérea superior., mucosas asociada a episodios de obstrucción severa e hipoxemia., signo clásico de tuberculosis activa., anillo periférico de color rojo intenso que rodea la lesión (reflejo inflamatorio)., compromiso ventilatorio potencial debido al estrechamiento de las vías aéreas., solución de continuidad de la mucosa, signos de sufrimiento medular (debilidad, asociada generalmente a aftas mayores."
a89,Patologia_89,ambos,18,33,muy_baja,media,"protrusión de la fontanela anterior visible en lactantes., a menudo en ""proyectil""., cese completo de la ventilación espontánea en casos de obstrucción total., bloqueo agudo del paso de aire (""the strangling angel"") secundario a la membrana"
a90,Patologia_90,femenino,45,55,baja,media,"dolor agudo experimentado durante el acto de la deglución., episodios de actividad neuronal excesiva (presente en 20-40% de casos)., solución de continuidad de la mucosa, frecuentemente asociada a cuerpos extraños laríngeos., característico del angioedema histaminérgico (mediado por mastocitos)., discomfort o dolor localizado en el cuadrante superior derecho del abdomen., 70% de hav."
